no,yes,actual,is_pos,tp,fp,sensitivity,fpr,specificity,precision,seed,groups,train_frac,test_group
0.09,0.91,yes,TRUE,1,0,0.1111111111111111,0,1,1,100,exp_id_number,0.65,fmt_1
0.208,0.792,yes,TRUE,2,0,0.2222222222222222,0,1,1,100,exp_id_number,0.65,fmt_1
0.224,0.776,yes,TRUE,3,0,0.3333333333333333,0,1,1,100,exp_id_number,0.65,fmt_1
0.247,0.753,yes,TRUE,4,0,0.4444444444444444,0,1,1,100,exp_id_number,0.65,fmt_1
0.258,0.742,yes,TRUE,5,0,0.5555555555555556,0,1,1,100,exp_id_number,0.65,fmt_1
0.269,0.731,yes,TRUE,6,0,0.6666666666666666,0,1,1,100,exp_id_number,0.65,fmt_1
0.399,0.601,yes,TRUE,7,0,0.7777777777777778,0,1,1,100,exp_id_number,0.65,fmt_1
0.529,0.471,no,FALSE,7,1,0.7777777777777778,0.07692307692307693,0.9230769230769231,0.875,100,exp_id_number,0.65,fmt_1
0.688,0.312,yes,TRUE,8,1,0.8888888888888888,0.07692307692307693,0.9230769230769231,0.8888888888888888,100,exp_id_number,0.65,fmt_1
0.721,0.279,no,FALSE,8,2,0.8888888888888888,0.15384615384615385,0.8461538461538461,0.8,100,exp_id_number,0.65,fmt_1
0.753,0.247,no,FALSE,8,3,0.8888888888888888,0.23076923076923078,0.7692307692307692,0.7272727272727273,100,exp_id_number,0.65,fmt_1
0.754,0.246,yes,TRUE,9,3,1,0.23076923076923078,0.7692307692307692,0.75,100,exp_id_number,0.65,fmt_1
0.817,0.183,no,FALSE,9,4,1,0.3076923076923077,0.6923076923076923,0.6923076923076923,100,exp_id_number,0.65,fmt_1
0.833,0.167,no,FALSE,9,5,1,0.38461538461538464,0.6153846153846154,0.6428571428571429,100,exp_id_number,0.65,fmt_1
0.847,0.153,no,FALSE,9,6,1,0.46153846153846156,0.5384615384615384,0.6,100,exp_id_number,0.65,fmt_1
0.853,0.147,no,FALSE,9,7,1,0.5384615384615384,0.46153846153846156,0.5625,100,exp_id_number,0.65,fmt_1
0.86,0.14,no,FALSE,9,8,1,0.6153846153846154,0.3846153846153846,0.5294117647058824,100,exp_id_number,0.65,fmt_1
0.864,0.136,no,FALSE,9,9,1,0.6923076923076923,0.3076923076923077,0.5,100,exp_id_number,0.65,fmt_1
0.868,0.132,no,FALSE,9,10,1,0.7692307692307693,0.23076923076923073,0.47368421052631576,100,exp_id_number,0.65,fmt_1
0.882,0.118,no,FALSE,9,11,1,0.8461538461538461,0.15384615384615385,0.45,100,exp_id_number,0.65,fmt_1
0.924,0.076,no,FALSE,9,12,1,0.9230769230769231,0.07692307692307687,0.42857142857142855,100,exp_id_number,0.65,fmt_1
0.942,0.058,no,FALSE,9,13,1,1,0,0.4090909090909091,100,exp_id_number,0.65,fmt_1
0.012,0.988,yes,TRUE,1,0,0.16666666666666666,0,1,1,100,exp_id_number,0.65,fmt_2
0.021,0.979,yes,TRUE,2,0,0.3333333333333333,0,1,1,100,exp_id_number,0.65,fmt_2
0.052,0.948,yes,TRUE,3,0,0.5,0,1,1,100,exp_id_number,0.65,fmt_2
0.06,0.94,yes,TRUE,4,0,0.6666666666666666,0,1,1,100,exp_id_number,0.65,fmt_2
0.294,0.706,yes,TRUE,5,0,0.8333333333333334,0,1,1,100,exp_id_number,0.65,fmt_2
0.356,0.644,no,FALSE,5,1,0.8333333333333334,0.0625,0.9375,0.8333333333333334,100,exp_id_number,0.65,fmt_2
0.427,0.573,no,FALSE,5,2,0.8333333333333334,0.125,0.875,0.7142857142857143,100,exp_id_number,0.65,fmt_2
0.454,0.546,no,FALSE,5,3,0.8333333333333334,0.1875,0.8125,0.625,100,exp_id_number,0.65,fmt_2
0.485,0.515,no,FALSE,5,4,0.8333333333333334,0.25,0.75,0.5555555555555556,100,exp_id_number,0.65,fmt_2
0.5,0.5,no,FALSE,5,5,0.8333333333333334,0.3125,0.6875,0.5,100,exp_id_number,0.65,fmt_2
0.545,0.455,no,FALSE,5,6,0.8333333333333334,0.375,0.625,0.45454545454545453,100,exp_id_number,0.65,fmt_2
0.546,0.454,no,FALSE,5,7,0.8333333333333334,0.4375,0.5625,0.4166666666666667,100,exp_id_number,0.65,fmt_2
0.589,0.411,no,FALSE,5,8,0.8333333333333334,0.5,0.5,0.38461538461538464,100,exp_id_number,0.65,fmt_2
0.619,0.381,no,FALSE,5,9,0.8333333333333334,0.5625,0.4375,0.35714285714285715,100,exp_id_number,0.65,fmt_2
0.63,0.37,yes,TRUE,6,9,1,0.5625,0.4375,0.4,100,exp_id_number,0.65,fmt_2
0.647,0.353,no,FALSE,6,10,1,0.625,0.375,0.375,100,exp_id_number,0.65,fmt_2
0.697,0.303,no,FALSE,6,11,1,0.6875,0.3125,0.35294117647058826,100,exp_id_number,0.65,fmt_2
0.729,0.271,no,FALSE,6,12,1,0.75,0.25,0.3333333333333333,100,exp_id_number,0.65,fmt_2
0.745,0.255,no,FALSE,6,13,1,0.8125,0.1875,0.3157894736842105,100,exp_id_number,0.65,fmt_2
0.757,0.243,no,FALSE,6,14,1,0.875,0.125,0.3,100,exp_id_number,0.65,fmt_2
0.819,0.181,no,FALSE,6,15,1,0.9375,0.0625,0.2857142857142857,100,exp_id_number,0.65,fmt_2
0.884,0.116,no,FALSE,6,16,1,1,0,0.2727272727272727,100,exp_id_number,0.65,fmt_2
0.044,0.956,yes,TRUE,1,0,0.1111111111111111,0,1,1,100,exp_id_number,0.65,p40_1
0.048,0.952,yes,TRUE,2,0,0.2222222222222222,0,1,1,100,exp_id_number,0.65,p40_1
0.097,0.903,yes,TRUE,3,0,0.3333333333333333,0,1,1,100,exp_id_number,0.65,p40_1
0.172,0.828,yes,TRUE,4,0,0.4444444444444444,0,1,1,100,exp_id_number,0.65,p40_1
0.43,0.57,yes,TRUE,5,0,0.5555555555555556,0,1,1,100,exp_id_number,0.65,p40_1
0.521,0.479,no,FALSE,5,1,0.5555555555555556,0.07692307692307693,0.9230769230769231,0.8333333333333334,100,exp_id_number,0.65,p40_1
0.613,0.387,no,FALSE,5,2,0.5555555555555556,0.15384615384615385,0.8461538461538461,0.7142857142857143,100,exp_id_number,0.65,p40_1
0.67,0.33,yes,TRUE,6,2,0.6666666666666666,0.15384615384615385,0.8461538461538461,0.75,100,exp_id_number,0.65,p40_1
0.683,0.317,yes,TRUE,7,2,0.7777777777777778,0.15384615384615385,0.8461538461538461,0.7777777777777778,100,exp_id_number,0.65,p40_1
0.7,0.3,yes,TRUE,8,2,0.8888888888888888,0.15384615384615385,0.8461538461538461,0.8,100,exp_id_number,0.65,p40_1
0.72,0.28,yes,TRUE,9,2,1,0.15384615384615385,0.8461538461538461,0.8181818181818182,100,exp_id_number,0.65,p40_1
0.768,0.232,no,FALSE,9,3,1,0.23076923076923078,0.7692307692307692,0.75,100,exp_id_number,0.65,p40_1
0.799,0.201,no,FALSE,9,4,1,0.3076923076923077,0.6923076923076923,0.6923076923076923,100,exp_id_number,0.65,p40_1
0.819,0.181,no,FALSE,9,5,1,0.38461538461538464,0.6153846153846154,0.6428571428571429,100,exp_id_number,0.65,p40_1
0.828,0.172,no,FALSE,9,6,1,0.46153846153846156,0.5384615384615384,0.6,100,exp_id_number,0.65,p40_1
0.913,0.087,no,FALSE,9,7,1,0.5384615384615384,0.46153846153846156,0.5625,100,exp_id_number,0.65,p40_1
0.915,0.085,no,FALSE,9,8,1,0.6153846153846154,0.3846153846153846,0.5294117647058824,100,exp_id_number,0.65,p40_1
0.937,0.063,no,FALSE,9,9,1,0.6923076923076923,0.3076923076923077,0.5,100,exp_id_number,0.65,p40_1
0.939,0.061,no,FALSE,9,10,1,0.7692307692307693,0.23076923076923073,0.47368421052631576,100,exp_id_number,0.65,p40_1
0.945,0.055,no,FALSE,9,11,1,0.8461538461538461,0.15384615384615385,0.45,100,exp_id_number,0.65,p40_1
0.96,0.04,no,FALSE,9,12,1,0.9230769230769231,0.07692307692307687,0.42857142857142855,100,exp_id_number,0.65,p40_1
0.966,0.034,no,FALSE,9,13,1,1,0,0.4090909090909091,100,exp_id_number,0.65,p40_1
0.04,0.96,yes,TRUE,1,0,0.09090909090909091,0,1,1,100,exp_id_number,0.65,p40_2
0.05,0.95,yes,TRUE,2,0,0.18181818181818182,0,1,1,100,exp_id_number,0.65,p40_2
0.203,0.797,yes,TRUE,3,0,0.2727272727272727,0,1,1,100,exp_id_number,0.65,p40_2
0.31,0.69,yes,TRUE,4,0,0.36363636363636365,0,1,1,100,exp_id_number,0.65,p40_2
0.332,0.668,yes,TRUE,5,0,0.45454545454545453,0,1,1,100,exp_id_number,0.65,p40_2
0.437,0.563,yes,TRUE,6,0,0.5454545454545454,0,1,1,100,exp_id_number,0.65,p40_2
0.445,0.555,no,FALSE,6,1,0.5454545454545454,0.09090909090909091,0.9090909090909091,0.8571428571428571,100,exp_id_number,0.65,p40_2
0.455,0.545,yes,TRUE,7,1,0.6363636363636364,0.09090909090909091,0.9090909090909091,0.875,100,exp_id_number,0.65,p40_2
0.616,0.384,yes,TRUE,8,1,0.7272727272727273,0.09090909090909091,0.9090909090909091,0.8888888888888888,100,exp_id_number,0.65,p40_2
0.656,0.344,yes,TRUE,9,1,0.8181818181818182,0.09090909090909091,0.9090909090909091,0.9,100,exp_id_number,0.65,p40_2
0.723,0.277,yes,TRUE,10,1,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.9090909090909091,100,exp_id_number,0.65,p40_2
0.73,0.27,no,FALSE,10,2,0.9090909090909091,0.18181818181818182,0.8181818181818181,0.8333333333333334,100,exp_id_number,0.65,p40_2
0.742,0.258,yes,TRUE,11,2,1,0.18181818181818182,0.8181818181818181,0.8461538461538461,100,exp_id_number,0.65,p40_2
0.775,0.225,no,FALSE,11,3,1,0.2727272727272727,0.7272727272727273,0.7857142857142857,100,exp_id_number,0.65,p40_2
0.8,0.2,no,FALSE,11,4,1,0.36363636363636365,0.6363636363636364,0.7333333333333333,100,exp_id_number,0.65,p40_2
0.821,0.179,no,FALSE,11,5,1,0.45454545454545453,0.5454545454545454,0.6875,100,exp_id_number,0.65,p40_2
0.836,0.164,no,FALSE,11,6,1,0.5454545454545454,0.4545454545454546,0.6470588235294118,100,exp_id_number,0.65,p40_2
0.847,0.153,no,FALSE,11,7,1,0.6363636363636364,0.36363636363636365,0.6111111111111112,100,exp_id_number,0.65,p40_2
0.89,0.11,no,FALSE,11,8,1,0.7272727272727273,0.2727272727272727,0.5789473684210527,100,exp_id_number,0.65,p40_2
0.893,0.107,no,FALSE,11,9,1,0.8181818181818182,0.18181818181818177,0.55,100,exp_id_number,0.65,p40_2
0.928,0.072,no,FALSE,11,10,1,0.9090909090909091,0.09090909090909094,0.5238095238095238,100,exp_id_number,0.65,p40_2
0.939,0.061,no,FALSE,11,11,1,1,0,0.5,100,exp_id_number,0.65,p40_2
0.065,0.935,yes,TRUE,1,0,0.125,0,1,1,100,exp_id_number,0.65,p40_3
0.077,0.923,yes,TRUE,2,0,0.25,0,1,1,100,exp_id_number,0.65,p40_3
0.091,0.909,yes,TRUE,3,0,0.375,0,1,1,100,exp_id_number,0.65,p40_3
0.103,0.897,yes,TRUE,4,0,0.5,0,1,1,100,exp_id_number,0.65,p40_3
0.106,0.894,yes,TRUE,5,0,0.625,0,1,1,100,exp_id_number,0.65,p40_3
0.129,0.871,yes,TRUE,6,0,0.75,0,1,1,100,exp_id_number,0.65,p40_3
0.139,0.861,yes,TRUE,7,0,0.875,0,1,1,100,exp_id_number,0.65,p40_3
0.17,0.83,no,FALSE,7,1,0.875,0.07142857142857142,0.9285714285714286,0.875,100,exp_id_number,0.65,p40_3
0.548,0.452,no,FALSE,7,2,0.875,0.14285714285714285,0.8571428571428572,0.7777777777777778,100,exp_id_number,0.65,p40_3
0.613,0.387,no,FALSE,7,3,0.875,0.21428571428571427,0.7857142857142857,0.7,100,exp_id_number,0.65,p40_3
0.658,0.342,yes,TRUE,8,3,1,0.21428571428571427,0.7857142857142857,0.7272727272727273,100,exp_id_number,0.65,p40_3
0.684,0.316,no,FALSE,8,4,1,0.2857142857142857,0.7142857142857143,0.6666666666666666,100,exp_id_number,0.65,p40_3
0.692,0.308,no,FALSE,8,5,1,0.35714285714285715,0.6428571428571428,0.6153846153846154,100,exp_id_number,0.65,p40_3
0.702,0.298,no,FALSE,8,6,1,0.42857142857142855,0.5714285714285714,0.5714285714285714,100,exp_id_number,0.65,p40_3
0.748,0.252,no,FALSE,8,7,1,0.5,0.5,0.5333333333333333,100,exp_id_number,0.65,p40_3
0.799,0.201,no,FALSE,8,8,1,0.5714285714285714,0.4285714285714286,0.5,100,exp_id_number,0.65,p40_3
0.852,0.148,no,FALSE,8,9,1,0.6428571428571429,0.3571428571428571,0.47058823529411764,100,exp_id_number,0.65,p40_3
0.859,0.141,no,FALSE,8,10,1,0.7142857142857143,0.2857142857142857,0.4444444444444444,100,exp_id_number,0.65,p40_3
0.913,0.087,no,FALSE,8,11,1,0.7857142857142857,0.2142857142857143,0.42105263157894735,100,exp_id_number,0.65,p40_3
0.92,0.08,no,FALSE,8,12,1,0.8571428571428571,0.1428571428571429,0.4,100,exp_id_number,0.65,p40_3
0.923,0.077,no,FALSE,8,13,1,0.9285714285714286,0.0714285714285714,0.38095238095238093,100,exp_id_number,0.65,p40_3
0.928,0.072,no,FALSE,8,14,1,1,0,0.36363636363636365,100,exp_id_number,0.65,p40_3
0.034,0.966,yes,TRUE,1,0,0.14285714285714285,0,1,1,101,exp_id_number,0.65,fmt_1
0.1,0.9,yes,TRUE,2,0,0.2857142857142857,0,1,1,101,exp_id_number,0.65,fmt_1
0.151,0.849,yes,TRUE,3,0,0.42857142857142855,0,1,1,101,exp_id_number,0.65,fmt_1
